restaurant,name,rating,time,comment,before,covid,after,period
Speezy's & Jp's Soul food,Ro Leake,5.0,a month ago,"Soul Food the way you expect it. Large portions. Tasty fried, baked options. Many sides",0,0,1,post
Speezy's & Jp's Soul food,Dalina Tu,5.0,a month ago,Amazing homestyle soul food at low prices!,0,0,1,post
Grazery,Lisa Easterly,5.0,a year ago,This is my favorite place in town. They have great food food and the service is good. They have vegan options which is always good! My favorite has to be the baked sweet potato and any of their soups!,0,0,1,post
Grazery,HaileYesus Bairu,5.0,2 months ago,"The best vegetarian options in Carlisle!All three vegetarian dishes are exceptional. Their soup is always on point, regardless of the season. This place could do well in swanky places in California. Even the employees have a California vibe to them!Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5The best vegetarian options in Carlisle!All three vegetarian dishes are exceptional. Their soup is always on point, …More",0,0,1,post
Grazery,Rachel Israel,5.0,11 months ago,"They have gluten free bread, soups, and salads! The flavors were great and they used simple ingredients. I got the Mediterranean sandwhich with gluten free bread with a side of their red pepper soup. The check out process was so smooth!Dine in: Yes
Outdoor seating: No …More",0,0,1,post
Grazery,Mark Mcnutt,5.0,4 months ago,"I can't believe I haven't reviewed this amazing little gem in Downtown Carlisle.This is our goto lunch spot.  I have a slight addiction to the Mellow Bird sandwich with popcorn on the side.  Everything here is incredibly fresh, and the service and personal attention Maria and Yani pay to their customers is off the charts.  (Honestly, some of the best customer service I have ever experienced in Carlisle.)When I do deviate from my standard order, I have never been disappointed,  whether it is creative and healthy salads or any of their other sandwich or wrap options.   They always have fresh homemade soup options that, once again, never disappoint.Hey guys, don't be thrown off by the  ""Healthy Food"" moniker here, this is just good food.Keep up the great work Grazery!Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5I can't believe I haven't reviewed this amazing little gem in Downtown Carlisle. …More",0,0,1,post
Grazery,Chad Greenlee,5.0,4 months ago,"This place is great, if you like the concept of Panera you'll love this place, except that you'll be able to taste flavorful food here (ha, sorry). Half sald/soup/sandwich is perfect, in a perfect location, everyone who works there has been so welcoming to us.My one qualm. Carlisle has a lack of restaurants with healthy, veg heavy options, ESPECIALLY food joints like this open on the weekend. I'm dying for lunch hours on the weekend. I will do your dishes the first weekend you're open.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5This place is great, if you like the concept of Panera you'll love this place, except that you'll be able to taste flavorful food here (ha, sorry). Half sald/soup/sandwich is perfect, in a perfect location, everyone who works there has been …More",0,0,1,post
Grazery,Alex Arutynov,5.0,3 weeks agoNew,"I eat here once a week. Maria, Brittany and the rest of the team are great. They provide excellent service and the food is delicious. Highly recommend Grazery",0,0,1,post
Grazery,LiveWorkPlay Media,5.0,2 years ago,"My main reason for going this time was theWalnut & Fig Tart:  Rosemary-scented cream with fig-preserve swirls in a walnut oat crust. Vegan, gluten-free, and made in-house from scratch with figs and rosemary. #veganandglutenfreeBut I decided to stay for lunch. I had theZucchini  sweet pea and mint soup and theSweet Potato stuffed w/ roasted broccoli, arugula, lemon vinaigrette & black sesame seeds which is also vegan and gluten-free.* I cut up the sweet potato so you can see what was in it but there's another picture for presentation.If you have dietary restrictions or just love healthy food that actually tastes delicious, this is your place! I don't think I know anything quite like it in the central Pennsylvania area.My main reason for going this time was theWalnut & Fig Tart:  Rosemary-scented cream with fig-preserve swirls in a walnut oat crust. Vegan, gluten-free, and made in-house from scratch with figs and …More",0,1,0,covid
Grazery,Annette Patterson,5.0,2 years ago,"Wonderful place to have lunch. We shared a bowl of soup, Avocado Boats and a Chick Pea Wrap. Everything was great. Would definitely go back!",0,1,0,covid
Grazery,Mohamed Badaoui Najjar,5.0,2 years ago,Tasty food great customer service and Innovative flavor glands all wrapped up in a friend to convenience good warm atmosphere describe the grazery blending soups and salads are sandwiches and soups gives you a taste of both options seasonal menus keep things Innovative and interesting,0,1,0,covid
Grazery,Sandy Brocious,5.0,7 months ago,Ate here today with a friend. Cute place and so happy to see vegetarian and vegan options and gluten free as well.  My meal was delicious and the staff was very friendly and food came out quickly. Will definitely go again.,0,0,1,post
Grazery,Keith J Oshman Jr,5.0,7 months ago,"In a society of increasing options for healthy food, this charming restaurant stands out.  The food is bold and flavorful, tickles the palate at every bite.  The staff is helpful and patient as we struggled to make up our minds as to the multitude of flavors, everything sounded great.  If you have not tried dining here, make the effort to get there.  Will be back soon and often.In a society of increasing options for healthy food, this charming restaurant stands out.  The food is bold and flavorful, tickles the palate at every bite.  The staff is helpful and patient as we struggled to make up our minds as to the …More",0,0,1,post
Grazery,Luke Micsky,5.0,2 years ago,"First time; got the Undercover Chicken sandwich and the Motley Crop salad, both were very good! The salad was nutty and crunchy and the chicken was juicy. Service was quick and friendly as well! I will definitely be coming back at some point.",0,1,0,covid
Grazery,Aj Calisti,5.0,a week agoNew,"Tasty, healthy, unique food and friendly service. Highly recommend!!Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishes
Sandwich and Soup, Vegan, The Mediterranean, Undercover Chicken …More",0,0,1,post
Grazery,Tracy Sands,5.0,10 months ago,"The owner of this wonderful local restaurant is fantastic- she cares about her staff and customers and remembers my name. The food is reliably good, healthy, and I trust the safety of her kitchen. Today I smiled when I was greeted like an old friend. I love all of the food but today’s  soup special- green pea and dill is now my ultimate favorite! This is a must go- don’t spend your money on chains when you can support a great place like this!The owner of this wonderful local restaurant is fantastic- she cares about her staff and customers and remembers my name. The food is reliably good, healthy, and I trust the safety of her kitchen. Today I smiled when I was greeted like an …More",0,0,1,post
Grazery,C.L. T.,5.0,3 years ago,"Had a relaxing, casual breakfast here. Really friendly staff. Great atmosphere.  We had the ""Green Eggs"" and ""the Frenchie"". Will definitely return in the future.",1,0,0,before
Grazery,Alison Terrana,5.0,11 months ago,I came across this lovely little spot along my travels. I decided to stop in to grab lunch. Really cool little place with a nice ambience. The food was delicious! I enjoyed a chicken pita panini and their regular soup. Highly recommended!,0,0,1,post
Grazery,alesha hatcher,5.0,8 months ago,"I definitely will return.  This resurant is a wonderful experience.  The food was amazing and the staff was pleasant and efficient.  Proper precautions were taken between guests.  I couldn't have asked for a better spot to eat.  Only drawback because nobody's perfect...they close at two.  Closing early probably gives them time to prep that yummy food and enjoy their family.  I loved it.Vegetarian options: The have several vegan options and are very kind, clean, and helpful.I definitely will return.  This resurant is a wonderful experience.  The food was amazing and the staff was pleasant and efficient.  Proper precautions were taken between guests.  I couldn't have asked for a better spot to eat.  Only …More",0,0,1,post
Grazery,LEO BERBERICH,5.0,5 months ago,"Awesome food, incredible soup and friendly service!Super lunch sammy and they politely swapped out to the bread I like!Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More",0,0,1,post
Grazery,George Kourtzidis,5.0,6 months ago,"Grazery is bringing back memories of Greece and Greek food! The food is amazing and very tasty! The people are incredible! It’s always a fun time!Recommended dishes
The Mediterranean …More",0,0,1,post
Grazery,Sarah Dolan,5.0,6 months ago,The food is amazing. Great quality! The chef buys from local organic sources. Delicious!,0,0,1,post
Grazery,Haley K,1.0,11 months ago,Hostess were both very rude. They were very busy and the wait was long when I went and understand why I couldn’t get a table. It wouldn’t bother me if I was treated like an actual customer. I guess they think if they’ve made enough money for the day they don’t have to treat their potential customers with any sort of respect. I didn’t get a chance the try the food here and definitely won’t be bothering to come back after the way the hostess spoke to me. Ran down to the Caribbean place down the street and had much much better service and the food was great. Check it out!Hostess were both very rude. They were very busy and the wait was long when I went and understand why I couldn’t get a table. It wouldn’t bother me if I was treated like an actual customer. I guess they think if they’ve made enough money …More,0,0,1,post
Grazery,Kyle Stoner,5.0,10 months ago,Came across this place today while looking for somewhere to have lunch. I was looking for something more vegetarian/vegan and I have to say it was really good. Both the food and service. I will be back. Highly recommended.,0,0,1,post
Grazery,Tasha Rinnus,5.0,a year ago,The food here is absolutely delicious. We had the Greek pita as well as the Tuna sandwich. Hands down was one of the best lunches we've had. The service was just as amazing as the food. I appreciated the decor as well as the overall ambience of this establishment. Bravo to the owners.,0,0,1,post
Grazery,Ryan Bowman,5.0,2 years ago,"Great atmosphere , awesome food, will be back again soon",0,1,0,covid
Grazery,Jennifer Anderson,5.0,a year ago,"Stopped here for lunch with my mom. Amazing!! Got the undercover chicken sandwich and a chickpea soup. So adorable inside, love the aesthetic!! Great food, service, and atmosphere.",0,0,1,post
Grazery,Debbi Latorre,5.0,5 months ago,Love this place. I hardly eat all except for the grazery. So good,0,0,1,post
Grazery,David Heckard,5.0,11 months ago,"Our family loves this restaurant.  High quality, healthy, reasonable price, and great service.  We wish they were closer to where we live and we would definately be there more often.",0,0,1,post
Grazery,Dawn Chesbro,5.0,a year ago,"Everything was amazing here! I wish they would open a location in Seattle, where I live. They would do amazingly there! The carrot and ginger purée soup was bowl-licking delicious (I seriously had to hold back from doing so) and the kale farro salad was equally stunning, both in flavor and appearance. They have a wonderful selection of pantry goods that I will come back for before I return to Seattle. Well-worth the visit!Everything was amazing here! I wish they would open a location in Seattle, where I live. They would do amazingly there! The carrot and ginger purée soup was bowl-licking delicious (I seriously had to hold back from doing so) and the kale …More",0,0,1,post
Grazery,Derek Busby,5.0,a year ago,"The Grazery is a fun, eclectic spot for delicious and healthy fare.  The staff are cheery and have a way of making you feel better when you leave than when you arrived. In all, it is just a nice place to have a great meal in beautiful. historic downtown Carlisle.",0,0,1,post
Grazery,Kevin Bentz,5.0,7 months ago,"Great food, have done take out and dine in. both were great experiences with good food. will be back here again for lunch.",0,0,1,post
Grazery,Brittany DiStefano,5.0,a year ago,"Great local healthy spot! Lots of delicious options- whether you’re looking for healthy food or have dietary restrictions. We tried the Farr-out salad and Mellow bird sandwich for dinner and both were great! Plus, the staff were also super friendly. We will be back soon to try some more.",0,0,1,post
Grazery,Isabelle Harman,5.0,2 years ago,"Always fresh food and friendly service. Our server checked with the chef to be sure ingredients would not cause an allergic reaction. Seating is limited and COVID protocols are enforced. Great atmosphere, delicious food, wonderful place for lunch. Try the soup (any of them) and my favorite sandwich is the Mediterranean. Vegan and Gluten Free options on menu. Family friendly, tables with chairs and/or bench seating. On street metered parking (accepts credit card payment, use the parking app, or bring change). Enjoy!Always fresh food and friendly service. Our server checked with the chef to be sure ingredients would not cause an allergic reaction. Seating is limited and COVID protocols are enforced. Great atmosphere, delicious food, wonderful place for …More",0,1,0,covid
Grazery,Mike Palmieri,5.0,2 years ago,Picked up some take out for lunch today and forgot how much I absolutely love this place. We usually go for breakfast (which I highly recommend). Today we tried out the Lunch menu and absolutely loved it. I got the Greek Pita with shredded lamb and it was delicious. The Spring Me Up salad was also delightful..I never describe food as delightful. The chocolate raspberry vinaigrette was something I couldn’t put my finger on and definitely would not have considered to put on a salad.Cannot recommend this place enough!Picked up some take out for lunch today and forgot how much I absolutely love this place. We usually go for breakfast (which I highly recommend). Today we tried out the Lunch menu and absolutely loved it. I got the Greek Pita with shredded …More,0,1,0,covid
Grazery,Bob Croft,5.0,3 years ago,"Always fresh. Very good healthy options. Not too expensive, but not big portions either.",1,0,0,before
Grazery,Jordyn Miller,4.0,a year ago,Very good food with great selection. There are multiple gluten free and vegan options available. The only downside is the very very limited hours of operation. Can be very hard to catch them on the 3 hours they are open a day.,0,0,1,post
Grazery,Charisse Morrell,5.0,a year ago,"Really unique eatery in Carlisle, I'm glad I found it! Diverse menu with something for everyone - options for gluten free, vegetarian, and vegan if you want, but they have plenty of meat options too if that's your jam. It's a fun vibe inside, I'll definitely be back!",0,0,1,post
Grazery,Jen Johns,5.0,3 years ago,This little eatery is delightfully decorated - they make the most of the space they are in for sure.  It's nice and open and impeccably clean.  Staff is really delightful and friendly and the food is delicious.  Everything is fresh and flavorful!  The locally made sodas are also quite tasty.,1,0,0,before
Grazery,B Michelle,4.0,2 years ago,This is my first time ordering from here and it is very delicious. I appreciate the gluten and vegan free options. It is difficult to find those accommodating options in Carlisle. I would definitely be ordering from here again. The only thing I would mention is price is fairly high. I got a sandwich and half salad for $18. I normally wouldn’t buy food for that cost but it’s something new to try. Overall good experience.This is my first time ordering from here and it is very delicious. I appreciate the gluten and vegan free options. It is difficult to find those accommodating options in Carlisle. I would definitely be ordering from here again. The only …More,0,1,0,covid
Grazery,Erica Snape,5.0,2 years ago,Today was my first time eating here. All I can say is FANTASTIC. I had the Tuna Sea sandwich and a cup of soup. Flavors were on point.  My coworkers also enjoyed their meals. I will definitely be back!,0,1,0,covid
Grazery,Danielle Peiffer,5.0,3 years ago,Amazing food! I was surprised that a simple breakfast could completely 'wow' me with how tasty and unique it was. The service was very friendly and quick. I'm anxious to come back and try their lunch and dinner menu.,1,0,0,before
