userid,rating,rating_number,category,address,city
Gingerbread Man,4.0,604,Restaurant,"5 S Court House Ave, Carlisle, PA, Carlisle, PA",Carlisle
Walnut Bottom Diner,4.3,2700,Diner,"936 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA",Carlisle
Grazery,4.8,233,Mediterranean,"156 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Pizza Boli's,3.5,52,Pizza,"328 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Issei Noodle,4.6,792,Asian,"54 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Hamilton Restaurant,4.7,1400,Restaurant,"55 W High St, Carlisle, PA, Carlisle, PA",Carlisle
One13 Social,4.8,114,Restaurant,"113 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Trindle Inn,4.3,115,Grill,"1941 W Trindle Rd, Carlisle, PA, Carlisle, PA",Carlisle
Wendy's,3.9,1100,Fast Food,"331 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Taco Bell,3.6,1000,Fast Food,"401 E High St, Carlisle, PA, Carlisle, PA",Carlisle
1794 The Whiskey Rebellion,4.4,616,American,"10 S Hanover St · In Comfort Suites Downtown Carlisle, Carlisle, PA, Carlisle, PA",Carlisle
Café Bruges,4.6,848,Restaurant,"16 N Pitt St, Carlisle, PA, Carlisle, PA",Carlisle
Tawan Thai Restaurant,4.5,57,Thai,"141 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Taqueria Laurita,4.1,346,Mexican,"150 W High St, Carlisle, PA, Carlisle, PA",Carlisle
MISENO'S RISTRO PUB,4.6,142,Pub,"598 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Fay's Country Kitchen,4.5,784,American,"203 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Kimberly's Cafe & Creamery,4.5,208,Breakfast,"530 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Yak N Yeti II,4.7,255,Asian,"49 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Miseno II Pizzeria & Italian,4.6,833,Italian,"598 W High St, Carlisle, PA, Carlisle, PA",Carlisle
John's Hideaway Restaurant,4.5,253,Restaurant,"302 N College St, Carlisle, PA, Carlisle, PA",Carlisle
B&L Caribbean Restaurant,4.9,124,Restaurant,"10 W Pomfret St, Carlisle, PA, Carlisle, PA",Carlisle
North Hanover Grille,4.5,694,Grill,"37 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Sage Cafe,4.8,71,Restaurant,"22 W Pomfret St, Carlisle, PA, Carlisle, PA",Carlisle
The Vegetable Hunter - Carlisle - Vegan Cafe & Boutique Brewery,4.5,116,Vegan,"46 W High St, Carlisle, PA, Carlisle, PA",Carlisle
West End Cafe,4.5,261,Bar,"1590 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
Carlisle Diner,4.3,1300,Diner,"800 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Redd's Smokehouse BBQ,4.7,721,Barbecue,"109 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
