userid,rating,rating_number,category,address
Gingerbread Man,4.0,604,Restaurant,"5 S Court House Ave, Carlisle, PA, Carlisle, PA"
Walnut Bottom Diner,4.3,2700,Diner,"936 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA"
Grazery,4.8,233,Mediterranean,"156 W High St, Carlisle, PA, Carlisle, PA"
Pizza Boli's,3.5,52,Pizza,"328 N Hanover St, Carlisle, PA, Carlisle, PA"
Issei Noodle,4.6,792,Asian,"54 W High St, Carlisle, PA, Carlisle, PA"
Hamilton Restaurant,4.7,1400,Restaurant,"55 W High St, Carlisle, PA, Carlisle, PA"
One13 Social,4.8,114,Restaurant,"113 W High St, Carlisle, PA, Carlisle, PA"
Trindle Inn,4.3,115,Grill,"1941 W Trindle Rd, Carlisle, PA, Carlisle, PA"
Wendy's,3.9,1100,Fast Food,"331 S Hanover St, Carlisle, PA, Carlisle, PA"
Taco Bell,3.6,1000,Fast Food,"401 E High St, Carlisle, PA, Carlisle, PA"
1794 The Whiskey Rebellion,4.4,616,American,"10 S Hanover St · In Comfort Suites Downtown Carlisle, Carlisle, PA, Carlisle, PA"
Café Bruges,4.6,848,Restaurant,"16 N Pitt St, Carlisle, PA, Carlisle, PA"
Tawan Thai Restaurant,4.5,57,Thai,"141 W High St, Carlisle, PA, Carlisle, PA"
Taqueria Laurita,4.1,346,Mexican,"150 W High St, Carlisle, PA, Carlisle, PA"
MISENO'S RISTRO PUB,4.6,142,Pub,"598 W High St, Carlisle, PA, Carlisle, PA"
Fay's Country Kitchen,4.5,784,American,"203 S Hanover St, Carlisle, PA, Carlisle, PA"
Kimberly's Cafe & Creamery,4.5,208,Breakfast,"530 W High St, Carlisle, PA, Carlisle, PA"
Yak N Yeti II,4.7,255,Asian,"49 W High St, Carlisle, PA, Carlisle, PA"
Miseno II Pizzeria & Italian,4.6,833,Italian,"598 W High St, Carlisle, PA, Carlisle, PA"
John's Hideaway Restaurant,4.5,253,Restaurant,"302 N College St, Carlisle, PA, Carlisle, PA"
B&L Caribbean Restaurant,4.9,124,Restaurant,"10 W Pomfret St, Carlisle, PA, Carlisle, PA"
North Hanover Grille,4.5,694,Grill,"37 N Hanover St, Carlisle, PA, Carlisle, PA"
Sage Cafe,4.8,71,Restaurant,"22 W Pomfret St, Carlisle, PA, Carlisle, PA"
The Vegetable Hunter - Carlisle - Vegan Cafe & Boutique Brewery,4.5,116,Vegan,"46 W High St, Carlisle, PA, Carlisle, PA"
West End Cafe,4.5,261,Bar,"1590 Ritner Hwy, Carlisle, PA, Carlisle, PA"
Carlisle Diner,4.3,1300,Diner,"800 W High St, Carlisle, PA, Carlisle, PA"
Redd's Smokehouse BBQ,4.7,721,Barbecue,"109 N Hanover St, Carlisle, PA, Carlisle, PA"
Mount Fuji,4.5,385,Asian,"149 N Hanover St, Carlisle, PA, Carlisle, PA"
Vinny Restaurant Pizza & Subs,4.6,350,Pizza,"330 S Hanover St, Carlisle, PA, Carlisle, PA"
George's Subs & Pizza,4.4,445,Pizza,"121 W High St, Carlisle, PA, Carlisle, PA"
Domino's Pizza,3.5,302,Pizza Delivery,"200 S Spring Garden St Ste 4 · In Castles Commons, Carlisle, PA, Carlisle, PA"
The Pizza Grille - Carlisle,4.4,565,Pizza,"1007 Ritner Hwy, Carlisle, PA, Carlisle, PA"
Hook & Flask Still Works,4.6,158,Restaurant,"137 N Hanover St, Carlisle, PA, Carlisle, PA"
Playa Bowls,4.4,125,Health Food,"32 N Hanover St, Carlisle, PA, Carlisle, PA"
Chen's,4.4,655,Chinese,"310 N Hanover St, Carlisle, PA, Carlisle, PA"
Market Cross Pub,4.5,567,Brewpub,"113 N Hanover St, Carlisle, PA, Carlisle, PA"
Cracker Barrel Old Country Store,4.2,2200,American,"3 E Garland Dr, Carlisle, PA, Carlisle, PA"
China Palace Restaurant,4.1,227,Chinese,"259 Penrose Pl, Carlisle, PA, Carlisle, PA"
Momma Spriggs Restaurant,4.6,1400,Restaurant,"Momma Spriggs, 160 York Rd, Carlisle, PA, Carlisle, PA"
Aya Japanese Steakhouse,4.2,453,Japanese,"235 S Spring Garden St · In Carlisle Marketplace, Carlisle, PA, Carlisle, PA"
King Tut 1 LLC,4.6,75,Egyptian,"120 N Hanover St, Carlisle, PA, Carlisle, PA"
Rustic Tavern,4.5,1200,Steak,"823 Newville Rd, Carlisle, PA, Carlisle, PA"
Seve-N-Dots,4.7,538,Pizza,"40 E Louther St, Carlisle, PA, Carlisle, PA"
Passage to India,4.0,1000,Indian,"26 N Hanover St, Carlisle, PA, Carlisle, PA"
El Rodeo,3.9,584,Mexican,"398 E High St, Carlisle, PA, Carlisle, PA"
Applebee's Grill + Bar,3.9,1300,Restaurant,"260 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Grandma Stamm’s,4.5,138,Chicken,"44 E High St, Carlisle, PA, Carlisle, PA"
Chick-fil-A,4.6,1800,Fast Food,"2 Noble Blvd, Carlisle, PA, Carlisle, PA"
Chili's Grill & Bar,4.1,1100,Tex Mex,"2 Houser Ln, Carlisle, PA, Carlisle, PA"
Carlisle Super Buffet Restaurant,4.1,776,Buffet,"40 Noble Blvd # 60 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Al's Pizza & Subs Carlisle,4.4,184,Pizza,"40 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Miseno Pizza and Ristorante,4.1,181,Pizza,"1225 Ritner Hwy, Carlisle, PA, Carlisle, PA"
Five Guys,4.3,513,Fast Food,"10 Noble Blvd Suite 1, Carlisle, PA, Carlisle, PA"
The Sunrise Cafe' Sandwich Shop,4.7,137,Sandwich,"231 N Hanover St, Carlisle, PA, Carlisle, PA"
Molly Pitcher Brewing Company Taproom on High,4.5,532,Brewpub,"139 W High St, Carlisle, PA, Carlisle, PA"
Fairgrounds Diner,4.2,749,Restaurant,"1111 Carlisle Springs Rd, Carlisle, PA, Carlisle, PA"
Hoss's Steak & Sea House,4.1,1300,Steak,"909 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA"
Speezy's Breakfast Spot,5.0,2,Restaurant,"330 E Louther St, Carlisle, PA, Carlisle, PA"
Sunnyside Family Restaurant's,4.0,220,American,"850 N Hanover St, Carlisle, PA, Carlisle, PA"
Alfredo Pizza & Ristorante,4.5,179,Pizza,"950 Walnut Bottom Rd · In Stonehedge Square, Carlisle, PA, Carlisle, PA"
Great Wall Chinese Restaurant,3.9,199,Chinese,"1225 Ritner Hwy, Carlisle, PA, Carlisle, PA"
1757 Bar & Grille,4.5,24,Restaurant,"920 Jim Thorpe Rd · In Carlisle Barracks Golf Course, Carlisle, PA, Carlisle, PA"
Official BBQ LLC,4.9,39,Restaurant,"848 N Hanover St Suite D, Carlisle, PA, Carlisle, PA"
Pizza-Wings & More,4.3,50,Pizza,"328 N Hanover St, Carlisle, PA, Carlisle, PA"
Pretzel Spot Cafe,3.8,45,Soul,"66 W Louther St, Carlisle, PA, Carlisle, PA"
Taipei Chinese Kitchen (Giant),3.9,24,Chinese,"255S S Spring Garden St · In Carlisle Marketplace, Carlisle, PA, Carlisle, PA"
Brad's Pizza,4.6,495,Pizza,"1548 Spring Rd, Carlisle, PA, Carlisle, PA"
Arby's,4.3,702,Fast Food,"930 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA"
Red Robin Gourmet Burgers and Brews,4.2,1100,Restaurant,"236 Westminster Dr · In Carlisle Crossing, Carlisle, PA, Carlisle, PA"
K’afe,5.0,10,Cafe,"90 S College St · In Dickinson College, Carlisle, PA, Carlisle, PA"
Little Caesars Pizza,3.9,410,Pizza,"650 E High St · In The Point at Carlisle Plaza, Carlisle, PA, Carlisle, PA"
Helena's Chocolate Café and Crêperie,4.5,416,Coffee shop,"36 W High St, Carlisle, PA, Carlisle, PA"
Chipotle Mexican Grill,3.5,465,Mexican,"40 Noble Blvd #32, Carlisle, PA, Carlisle, PA"
Panera Bread,4.0,505,Cafe,"40 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Papa Johns Pizza,3.9,251,Pizza,"500 S Hanover St, Carlisle, PA, Carlisle, PA"
Marcello's Ristorante & Pizza,4.5,902,Pizza,"900 Cavalry Rd, Carlisle, PA, Carlisle, PA"
It's Just Wings,2.6,20,Chicken Wings,"2 Houser Ln · In Chili's Grill & Bar, Carlisle, PA, Carlisle, PA"
Desperate Times Brewery,4.5,262,Brewery,"1201 Carlisle Springs Rd, Carlisle, PA, Carlisle, PA"
Waffle House,4.0,1200,Breakfast,"1249 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Burger King,3.2,491,Restaurant,"950 E High St, Carlisle, PA, Carlisle, PA"
Asian Cafe,4.1,251,Asian,"214 Westminster Dr #C · In Carlisle Crossing, Carlisle, PA, Carlisle, PA"
Pizza Hut,3.6,471,Pizza Delivery,"819 E High St, Carlisle, PA, Carlisle, PA"
McDonald's,3.3,1300,Fast Food,"608 E High St, Carlisle, PA, Carlisle, PA"
McDonald's,3.5,1500,Fast Food,"905 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA"
Great Wall (900 Cavalry Rd),4.1,141,Chinese,"900 Cavalry Rd # 4, Carlisle, PA, Carlisle, PA"
Mays Family Restaurant,4.7,143,Family-friendly,"1900 Spring Rd, Carlisle, PA, Carlisle, PA"
Spoons Cafe,4.5,152,American,"Army Heritage Education Museum |, 950 Soldiers Dr · In the U.S. Army Heritage and Education Center, Carlisle, PA, Carlisle, PA"
Subway,3.9,111,Sandwich,"40 Noble Blvd Suite 110 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Firehouse Subs Carlisle Commons,3.9,315,Sandwich,"10 Noble Blvd #5 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA"
Denim Coffee,4.7,306,Coffee shop,"1 S Hanover St, Carlisle, PA, Carlisle, PA"
Burger King,3.5,604,Restaurant,"370 Allen Rd, Carlisle, PA, Carlisle, PA"
Napoli Pizza,4.5,539,Pizza,"1075 Harrisburg Pike #111, Carlisle, PA, Carlisle, PA"
Grand Illusion Hard Cider,4.7,498,Cider bar,"26 W High St, Carlisle, PA, Carlisle, PA"
Wendy's,3.8,1000,Fast Food,"1165 Harrisburg Pike · In Love's Travel Stop, Carlisle, PA, Carlisle, PA"
Hardee's,4.1,871,Fast Food,"1804 W Trindle Rd, Carlisle, PA, Carlisle, PA"
Denny's,3.8,1800,Diner,"1501 Harrisburg Pike · In Flying J Travel Center, Carlisle, PA, Carlisle, PA"
Fiddler's Bar and Grill,4.2,547,Grill,"1 Mayapple Dr, Carlisle, PA, Carlisle, PA"
China one,3.9,106,Chinese,"1075 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Subway,4.1,146,Sandwich,"1909 Ritner Hwy #3, Carlisle, PA, Carlisle, PA"
Happy Chen,3.8,137,Asian,"1161 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Subway,4.1,163,Sandwich,"299 A Westminster Dr Suite 27, Bldg #1 · In Carlisle Crossing, Carlisle, PA, Carlisle, PA"
Middlesex Diner,4.4,3000,Diner,"1803 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Hickory Ridge Restaurant-Creamery-Country Store-Catering,4.5,944,American,"1400 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
The Carriage House Tavern,3.9,50,Pub,"1582 Mt, Holly Pike, Carlisle, PA, Carlisle, PA"
Levine Enterprises Inc,2.3,3,Corporate office,"121 S Pitt St, Carlisle, PA, Carlisle, PA"
Dunkin',3.5,558,Coffee shop,"402 E High St, Carlisle, PA, Carlisle, PA"
Sheetz,3.4,107,Restaurant,"1900 Ritner Hwy, Carlisle, PA, Carlisle, PA"
McDonald's,3.2,1200,Fast Food,"1176 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Cafe Cumberland,5.0,2,American,"950 Soldiers Dr, Carlisle, PA, Carlisle, PA"
Freeman's BBQ,4.5,166,Barbecue,"1446 Holly Pike #1436, Carlisle, PA, Carlisle, PA"
Dunkin',3.9,76,Coffee shop,"370 Allen Rd, Carlisle, PA, Carlisle, PA"
Sheetz,3.4,73,Restaurant,"1098 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Subway,4.0,49,Sandwich,"Carlisle Barracks, PA, Carlisle, PA, Carlisle, PA"
Taco Bell,3.8,828,Fast Food,"Mechanicsburg, PA · In Silver Spring Commons, Carlisle, PA, Carlisle, PA"
PB's Kitchen with Southern Smoke,4.4,148,Restaurant,"1251 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
Back Porch Brewing inc,5.0,10,Brewery,"133 N Hanover St, Carlisle, PA, Carlisle, PA"
Subway,3.9,42,Sandwich,"1075 Harrisburg Pike Space 110, Carlisle, PA, Carlisle, PA"
Dunkin',3.3,361,Coffee shop,"1651 Harrisburg Pike, Carlisle, PA, Carlisle, PA"
