userid,rating,rating_number,category,address
The Sturges Speakeasy,4.5,1200,American,400 Forster St
McGrath's Pub,4.6,1100,Irish,202 Locust St
Home 231,4.6,909,New American,231 North St
Mangia Qui,4.6,271,Italian,272 North St
Cork & Fork,4.5,827,Small Plates,200 State St
Millworks,4.6,1400,Restaurant,340 Verbeke St
El Sol Mexican Restaurant,4.5,1200,Mexican,18 S 3rd St
Pastorante,4.6,421,Italian,1012 N 3rd St
Crawdaddys Restaurant & Bar,4.1,606,Restaurant,1500 N 6th St
Stock's on 2nd,4.5,326,American,211 N 2nd St
note. bistro & winebar,4.7,223,Bistro,1530 N 2nd St
Los Tres Cubanos Restaurant,4.6,618,Cuban,540 Race St
Federal Taphouse,4.1,755,American,234 N 2nd St
Bacco Pizzeria and Wine Bar,4.2,535,Pizza,20 N 2nd St
1700 Degrees Steakhouse,4.6,330,Restaurant,One N 2nd St · In the Hilton Harrisburg
Ad Lib Craft Kitchen & Bar,4.4,462,American,1 N 2nd St · In the Hilton Harrisburg
Sammy's Authentic Italian Restaurant,4.5,423,Italian,502 N 3rd St #1112
Dodge City Steakhouse,4.4,1300,Steak,1037 Paxton St #1645
Arepa House,4.6,145,Restaurant,404 N 2nd St
Cafe Fresco Center City,4.5,647,New American,215 N 2nd St
Rubicon,4.6,366,Restaurant,270 North St
Carley's Ristorante,4.5,125,Restaurant,204 Locust St
Nyree's Restaurant,3.0,2,Soul,1029 Market St
Capow Jamaican restaurant,4.5,23,Jamaican,1403 Market St
Au Bon Lieu,4.5,374,Family-friendly,1 N 3rd St · In Strawberry Square
Bangkok 56,4.5,789,Thai,1917 Paxton St #2962
Isabelle's Southern Cuisine,4.5,65,Soul,306 Reily St
Miyako Sushi,4.4,345,Sushi,227 N 2nd St
Keystone Restaurant,4.5,677,Family-friendly,1000 N 3rd St
The Vegetable Hunter - Harrisburg - Vegan Cafe and Boutique Brewery,4.3,386,Vegan,614 N 2nd St
Burger Yum,4.6,1100,Hamburger,400 N 2nd St
Rice & Beans bar and restaurant,4.2,717,Spanish,319 S 17th St
Suba Tapas,4.5,67,Spanish,272 North St
MASA,4.9,123,Mexican,316 N 2nd St
state street restaurant,4.3,6,Diner,2020 State St
The Jackson House,4.7,639,Hamburger,1004 N 6th St
Porter's House Jamaican Restaurant in the Market,4.2,70,Jamaican,1233 N 3rd St · In the Broad Street Market
Mariama's African and Jamaican Restaurant,4.3,473,West African,1029 Market St
Freshido,4.7,233,Asian,300 Market St #157-159 · In Strawberry Square
Anastacia's Restaurant Bar,3.7,190,Restaurant,1535 N 6th St
23 Restaurant,3.3,4,Restaurant,"Crowne Plaza, 23 S 2nd St · In Crowne Plaza Harrisburg-Hershey"
