userid,rating,rating_number,category,address
Eleven,4.6,1300,American,1150 Smallman St
The Capital Grille,4.6,1400,Fine Dining,301 Fifth Ave · In Piatt Place Downtown
The Melting Pot,4.5,1700,Fondue,242 W Station Square Dr · In Station Square
täkō,4.5,1400,Tacos,214 6th St
Proper Brick Oven & Tap Room,4.6,1700,Restaurant,139 7th St
The Eagle,4.6,552,Chicken,737 Penn Ave Space 2
Kaya,4.5,1500,Caribbean,2000 Smallman St
Eddie V's Prime Seafood,4.7,1500,Seafood,501 Grant St #100 · In Union Trust Building
Fogo de Chão Brazilian Steakhouse,4.6,2900,Brazilian,525 Smithfield St
Après-Ski at Butcher and the Rye,4.6,1200,New American,212 6th St
Arepittas,4.8,501,Restaurant,412-428 Cherry Way
Tessaro's American Bar & Hardwood Grill,4.5,1400,Grill,4601 Liberty Ave
Pamela's Diner,4.6,2300,Brunch,60 21st St
The Commoner,4.4,1600,Gastropub,"620 William Penn Pl · In the Hotel Monaco Pittsburgh, a Kimpton Hotel"
Casbah,4.5,1100,Mediterranean,229 S Highland Ave
Gaucho Parrilla Argentina,4.6,3500,South American,146 6th St
Huszar,4.6,477,Hungarian,627 E North Ave #4844
Siempre Algo,4.7,209,American,414 E Ohio St
Burgatory,4.5,3400,Hamburger,342 N Shore Dr
Carmi Soul Food Restaurant,4.2,1500,Soul,1825 E Carson St
fl.2 Modern American,4.3,387,Restaurant,510 Market St floor 2 · In Three Pnc Plaza
Morcilla,4.7,755,Spanish,3519 Butler St
Bakersfield,4.5,1600,Tacos,940 Penn Ave
Pizzaiolo Primo,4.3,703,Italian,8 Market Square
Sienna Mercato,4.4,2700,Italian,942 Penn Ave
The Porch at Schenley,4.2,1300,American,221 Schenley Drive · In Schenley Plaza
Spork,4.6,350,Restaurant,5430 Penn Ave
Revel,4.1,783,American,"Level, 242 Forbes Ave"
Bonfire Food and Drink,4.5,328,Restaurant,2100 E Carson St
Bar Marco,4.6,562,Italian,2216 Penn Ave
DiAnoia's Eatery,4.6,1600,Italian,2549 Penn Ave
Lucca Ristorante,4.2,715,Italian,317 S Craig St · Near Carnegie Museum of Art
Buca di Beppo Italian Restaurant,4.0,1300,Italian,3 E Station Square Dr · In Station Square
The Rebel Room,4.3,38,Restaurant,405 Wood St
Madonna's Mediterranean Cuisine,4.8,334,Mediterranean,408 Smithfield St
Fig & Ash,4.7,514,Restaurant,514 E Ohio St
Turkish Grille,4.5,551,Mediterranean,272 Melwood Ave
The Original Mitchell's,4.3,330,American,304 Ross St
Girasole,4.4,875,Italian,733 Copeland St
Thai Me Up,4.5,709,Thai,118 S 23rd St
Bae Bae's Kitchen,4.7,803,Restaurant,951 Liberty Ave
Federal Galley,4.5,2000,Restaurant,200 Children's Way · In Nova Place
Las Velas,4.3,1200,Mexican,21 Market Square
Eddie Merlot's,4.6,1100,Steak,444 Liberty Ave · In Four Gateway Center
Altius,4.7,1400,Fine Dining,1230 Grandview Ave
Carmella's Plates & Pints,4.6,842,American,1908 E Carson St
Condado Tacos,4.5,3700,Tacos,971 Liberty Ave
Primanti Bros. Restaurant and Bar Market Square,4.3,3700,Sports bar,2 Market Square · In Market Square
Grand Concourse,4.3,2000,Restaurant,100 W Station Square Dr · In Station Square
Meat & Potatoes,4.5,1800,Gastropub,649 Penn Ave
Bigelow Grille Kitchen & Bar,4.1,297,Restaurant,1 Bigelow Sq · In DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown
Fish Nor Fowl,4.5,123,Italian,5523 Penn Ave
Primanti Bros. Restaurant and Bar Strip District,4.5,5900,Sports bar,46 18th St
Christos Mediterranean Grille,4.4,418,Greek,130 6th St · In Ft. Duquesne & Sixth Garage
Point Brugge Cafe,4.6,1100,European,401 Hastings St
DeLuca's Diner,4.5,2000,Diner,2015 Penn Ave
Hyde Park Prime Steakhouse,4.6,700,Steak,247 N Shore Dr
Hofbräuhaus Pittsburgh,4.5,1800,German,2705 S Water St · In the SouthSide Works
